Orario;Umidità dell'aria (%);Pressione (mPa);Temperatura dell'aria (°C);Punto di rugiada (°C);Direzione del vento (°);Velocità media del vento (km/h);Batteria (V);Fotocamera;Tipo di device;flags;hw;Latitudine;Livello liquido (mm);Longitudine;Lux;Umidità fogliare (%);Umidità suolo superficie (%);Umidità suolo profondità (%);Massima velocità del vento (km/h);Temperatura liquido (°C);pH;Foto;Pannello solare;Quantità di pioggia (mm);Qualità Segnale (dBm);rst;sd;Potenziale idrico 1 (Superficie);Potenziale idrico 2;Umidità suolo 1 (Superficie) (%);Umidità suolo 2 (%);Umidità suolo 3 (%);Umidità suolo 4 (%);Umidità suolo 5 (%);Umidità suolo 6 (%);Umidità suolo 7 (%);Umidità suolo 8 (%);Umidità suolo 9 (%);sms1;sms2;SNR;Radiazione solare (W/m2);Salinità suolo 1 (Superficie) (°C);Salinità suolo 2 (°C);Salinità suolo 3 (°C);Salinità suolo 4 (°C);Salinità suolo 5 (°C);Salinità suolo 6 (°C);Salinità suolo 7 (°C);Salinità suolo 8 (°C);Salinità suolo 9 (°C);Temperatura suolo 1 (Superficie) (°C);Temperatura suolo 2 (°C);Temperatura suolo 3 (°C);Temperatura suolo 4 (°C);Temperatura suolo 5 (°C);Temperatura suolo 6 (°C);Temperatura suolo 7 (°C);Temperatura suolo 8 (°C);Temperatura suolo 9 (°C);vpd;Umidità fogliare 1 (min);Umidità fogliare 2 (min);ID Sensore;Descrizione
2023-07-27 09:00:;;;;;;;4.27;;;;;;;;;;14.3;16.2;;;;;;;;;;;;14.3;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-27 08:00:;;;;;;;4.27;;;;;;;;;;14.4;16.2;;;;;;;;;;;;14.4;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-27 07:00:;;;;;;;4.27;;;;;;;;;;14.4;16.25;;;;;;;;;;;;14.4;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-27 06:00:;;;;;;;4.27;;;;;;;;;;14.5;16.2;;;;;;;;;;;;14.5;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-27 05:00:;;;;;;;4.26;;;;;;;;;;14.5;16.25;;;;;;;;;;;;14.5;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-27 04:00:;;;;;;;4.26;;;;;;;;;;14.5;16.2;;;;;;;;;;;;14.5;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-27 03:00:;;;;;;;4.26;;;;;;;;;;14.5;16.3;;;;;;;;;;;;14.5;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-27 02:00:;;;;;;;4.26;;;;;;;;;;14.5;16.3;;;;;;;;;;;;14.5;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-27 01:00:;;;;;;;4.27;;;;;;;;;;14.5;16.3;;;;;;;;;;;;14.5;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-27 00:00:;;;;;;;4.27;;;;;;;;;;14.55;16.25;;;;;;;;;;;;14.55;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 23:00:;;;;;;;4.27;;;;;;;;;;14.5;16.25;;;;;;;;;;;;14.5;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 22:00:;;;;;;;4.27;;;;;;;;;;14.55;16.25;;;;;;;;;;;;14.55;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 21:00:;;;;;;;4.27;;;;;;;;;;14.55;16.3;;;;;;;;;;;;14.55;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 20:00:;;;;;;;4.27;;;;;;;;;;14.5;16.2;;;;;;;;;;;;14.5;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 19:00:;;;;;;;4.27;;;;;;;;;;14.55;16.2;;;;;;;;;;;;14.55;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 18:00:;;;;;;;4.27;;;;;;;;;;14.5;16.1;;;;;;;;;;;;14.5;16.1;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 17:00:;;;;;;;4.27;;;;;;;;;;14.5;16.2;;;;;;;;;;;;14.5;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
